merchant_abn,name,tags,revenue_level,take_rate
10023283211,Felis Limited,furniture,e,0.18
10142254217,Arcu Ac Orci Corporation,cable,b,4.22
10165489824,Nunc Sed Company,jewelry,b,4.4
10187291046,Ultricies Dignissim Lacus Foundation,watch,b,3.29
10192359162,Enim Condimentum PC,music,a,6.33
10206519221,Fusce Company,gift,a,6.34
10255988167,Aliquam Enim Incorporated,computer,b,4.32
10264435225,Ipsum Primis Ltd,watch,c,2.39
10279061213,Pede Ultrices Industries,computer,a,5.71
10323485998,Nunc Inc.,furniture,a,6.61
10342410215,Facilisis Facilisis Corp.,computer,a,6.34
10346855916,Odio Institute,equipment,b,3.57
10364012396,Rutrum Justo Ltd,music,b,3.63
10385011947,Tellus Foundation,artist supply,b,3.17
10385163239,Sed Et Company,florists,a,6.61
10385250025,Id Ltd,computer,a,5.54
10404542215,Consequat Foundation,antique,a,6.93
10430380319,Sit Amet Nulla Corp.,motor,b,4.97
10441711491,Massa Vestibulum Foundation,motor,a,5.77
10462560289,Ut Consulting,gift,c,2.95
10463252268,Id Mollis Corporation,artist supply,a,6.61
10487253336,Laoreet Lectus Associates,artist supply,b,3.92
10530696903,Ut Semper Industries,books,a,6.46
10545955006,Lacus Vestibulum Inc.,florists,a,6.16
10553813474,Commodo Hendrerit Donec Corporation,artist supply,b,4.31
10596295795,Egestas A Associates,jewelry,a,6.84
10618089367,Enim Consequat Institute,stationery,b,4.01
10648956813,Proin Nisl Institute,computer,a,6.66
10651113986,Sed Et Libero PC,tent,b,3.25
10702078694,Fermentum Risus Foundation,gift,a,5.95
10714068705,Sollicitudin Commodo Ipsum Industries,furniture,c,2.51
10739268011,Libero Proin Mi Incorporated,art dealer,a,6.25
10746056613,Risus Associates,music,a,6.76
10848766800,Ut Dolor Dapibus LLP,bicycle,c,2.08
10854978569,Dui Cras Pellentesque Limited,computer,b,4.23
10860706939,Vitae Aliquet Nec Associates,furniture,c,2.99
10881038707,Sed Facilisis Vitae Incorporated,jewelry,a,6.24
10901349044,Per Inceptos Company,gift,a,5.96
10922217544,Justo Associates,watch,c,1.68
10930486968,Metus Vitae Velit LLP,gift,a,5.73
10945019164,Nam Associates,digital goods,a,5.99
10955677986,Arcu Iaculis Corporation,shoe,a,5.64
10959028715,Ante Maecenas Ltd,furniture,b,4.28
10995883576,Non Feugiat Incorporated,gift,a,6.22
11017796471,Sodales Mauris Consulting,opticians,b,4.0
11024352823,Aliquet Metus Urna LLP,antique,c,2.62
11076688542,Amet Diam Industries,stationery,c,2.52
11089768124,Rutrum Corp.,computer,c,2.78
11093673306,Ac Mi Corp.,watch,a,6.74
11121775571,Egestas Nunc Associates,digital goods,a,6.58
11134994590,Quis Massa Mauris Ltd,jewelry,c,2.41
11149063370,Et Arcu Limited,art dealer,b,4.84
11173270682,Feugiat Tellus LLP,computer,d,1.26
11199348915,Orci Luctus PC,health,b,4.1
11208869091,Cursus Et Eros LLP,hobby,a,6.48
11215815177,Scelerisque Scelerisque Ltd,tent,b,4.77
11237511112,Magna Institute,opticians,c,2.11
11243046390,Ornare Placerat Foundation,books,c,1.94
11285988014,Tincidunt Pede Company,digital goods,a,6.3
11304124014,Nostra Per Inceptos Ltd,shoe,a,5.54
11355018654,Interdum Inc.,shoe,a,6.24
11411018019,Ipsum Sodales Industries,hobby,c,2.17
11422053652,Aptent Taciti Consulting,shoe,b,4.74
11422618712,Praesent Luctus Inc.,computer,c,1.45
11437621158,Nam Foundation,motor,b,4.53
11439466003,Blandit At LLC,shoe,a,5.71
11452293720,Sed Neque Sed Inc.,cable,a,5.78
11470993597,Sed Associates,watch,d,1.35
11563852275,Proin Vel Incorporated,florists,c,2.99
11566786699,Euismod Et Institute,opticians,c,2.62
