rank,merchant_abn,name,tags,revenue_level,take_rate,pred_total_num_consumer,pred_total_num_transaction,pred_total_revenue,scaled_pred_total_num_consumer,scaled_pred_total_num_transaction,scaled_pred_total_revenue,score,segment
5.0,21439773999,Mauris Non Institute,cable,a,6.1,22427.261711782096,81994.38346125103,36715890.20747443,99.82683756542818,41.15363413246736,85.48734517333,76.48907957870065,technical & machinery service
18.0,68216911708,Placerat Eget Venenatis Limited,computer,c,3.05,22179.48032187922,123795.66520385689,14821895.210946152,98.72392839713788,62.13403038017325,34.51052023690642,62.061595727955904,technical & machinery service
23.0,96680767841,Ornare Limited,motor,a,5.91,13358.259421030822,20437.63852850356,32805360.306611124,59.45945655414265,10.257813560256038,76.3822732941883,51.468090351994924,technical & machinery service
24.0,35909341340,Arcu Sed Eu Incorporated,computer,b,4.8,15347.860797825791,25516.439229890235,27011890.97580216,68.31544691149071,12.806904084186378,62.89306440846332,49.49393106208845,technical & machinery service
29.0,67400260923,Eleifend PC,computer,a,5.97,15703.501465096531,25799.417586840584,23661308.708884645,69.8984526114084,12.948933175420962,55.09174511142212,46.89091378061766,technical & machinery service
31.0,94690988633,Eu Placerat LLC,computer,a,6.16,13895.359161907923,21106.1403912736,25066594.194246832,61.85016163789367,10.59333996969983,58.363737828345855,45.07854561361639,technical & machinery service
35.0,58454491168,Diam At Foundation,computer,a,6.01,12295.206852456968,17815.29968383584,25534719.295506787,54.7276628358403,8.941640807572156,59.45369566103278,42.88226935743685,technical & machinery service
39.0,80518954462,Neque Sed Dictum Incorporated,computer,b,3.49,13433.74300429979,19968.55797133409,20050350.04256853,59.79544440244466,10.022378292454684,46.68417911834289,39.61901845580696,technical & machinery service
49.0,17488304283,Posuere Cubilia Curae Corporation,cable,a,6.18,14833.881547021032,23201.96729595052,14058794.507610103,66.02765432042588,11.645252186111776,32.73375674678085,36.39537465067364,technical & machinery service
50.0,13514558491,Magna Praesent PC,motor,a,6.78,9261.06221788785,12024.15849919295,23731916.042125408,41.22226625744193,6.03502092140781,55.25614350771356,36.279643556740346,technical & machinery service
