,rank,merchant_abn,order_date,num_consumer,num_transaction,total_revenue
0,11.0,72472909171,2021-02-01,113,114,48664.52756287777
1,11.0,72472909171,2021-03-01,3594,3944,1756657.54192806
2,11.0,72472909171,2021-04-01,3579,3887,1715348.3186664535
3,11.0,72472909171,2021-05-01,4126,4539,2071221.8139018193
4,11.0,72472909171,2021-06-01,4112,4500,2027691.7857222066
5,11.0,72472909171,2021-07-01,4333,4780,2141566.6781367124
6,11.0,72472909171,2021-08-01,4487,4972,2191080.005303344
7,11.0,72472909171,2021-09-01,4386,4852,2152709.946737825
8,11.0,72472909171,2021-10-01,4716,5256,2364464.515706589
9,11.0,72472909171,2021-11-01,6123,7033,3113371.2081101947
10,11.0,72472909171,2021-12-01,6010,6921,3119388.9090244994
11,11.0,72472909171,2022-01-01,3735,4040,1769442.2009248603
12,11.0,72472909171,2022-02-01,3498,3783,1668311.4695685352
13,11.0,72472909171,2022-03-01,4296,4745,2136368.0688752485
14,11.0,72472909171,2022-04-01,4382,4842,2155458.734396774
15,11.0,72472909171,2022-05-01,4915,5457,2413909.085695074
16,11.0,72472909171,2022-06-01,4810,5330,2348947.5827711667
17,11.0,72472909171,2022-07-01,5020,5639,2487390.9783953717
18,11.0,72472909171,2022-08-01,5315,5998,2656071.2866860647
19,11.0,72472909171,2022-09-01,5238,5910,2582051.5650083073
20,11.0,72472909171,2022-10-01,4679,5205,2270187.074199604

21,12.0,64203420245,2021-02-01,326,330,27376.212886947847
22,12.0,64203420245,2021-03-01,8245,10057,825207.4946561523
23,12.0,64203420245,2021-04-01,8425,10360,855532.6907749923
24,12.0,64203420245,2021-05-01,9295,11641,959824.1614052728
25,12.0,64203420245,2021-06-01,9166,11565,966169.4290636642
26,12.0,64203420245,2021-07-01,9464,12040,988091.1726382519
27,12.0,64203420245,2021-08-01,9784,12549,1033706.6329293291
28,12.0,64203420245,2021-09-01,9803,12483,1034495.9672178505
29,12.0,64203420245,2021-10-01,10360,13394,1112219.4691330055
30,12.0,64203420245,2021-11-01,12794,18191,1511065.3108910474
31,12.0,64203420245,2021-12-01,12560,17707,1458405.0437321519
32,12.0,64203420245,2022-01-01,8190,10031,834356.8706729522
33,12.0,64203420245,2022-02-01,8006,9685,801637.1167591821
34,12.0,64203420245,2022-03-01,9519,12120,1001752.6892945782
35,12.0,64203420245,2022-04-01,9700,12378,1027273.4261816854
36,12.0,64203420245,2022-05-01,10825,14193,1174609.5436017113
37,12.0,64203420245,2022-06-01,10534,13774,1142500.4068513208
38,12.0,64203420245,2022-07-01,11070,14726,1220038.5737872685
39,12.0,64203420245,2022-08-01,11208,15118,1254196.5311356145
40,12.0,64203420245,2022-09-01,11193,14985,1240324.395811334
41,12.0,64203420245,2022-10-01,10315,13453,1122720.4321328609

42,20.0,98973094975,2021-02-01,63,63,42452.12607535506
43,20.0,98973094975,2021-03-01,2031,2128,1557144.296410149
44,20.0,98973094975,2021-04-01,2072,2169,1619517.9689416687
45,20.0,98973094975,2021-05-01,2359,2488,1847087.8626892422
46,20.0,98973094975,2021-06-01,2263,2374,1788886.098466142
47,20.0,98973094975,2021-07-01,2426,2551,1894085.2894227505
48,20.0,98973094975,2021-08-01,2378,2524,1905232.506110537
49,20.0,98973094975,2021-09-01,2501,2659,1982558.5415540505
50,20.0,98973094975,2021-10-01,2627,2790,2072231.6455551756
51,20.0,98973094975,2021-11-01,3559,3839,2875710.7628308027
52,20.0,98973094975,2021-12-01,3408,3655,2775552.8890651623
53,20.0,98973094975,2022-01-01,2043,2121,1596659.5244294982
54,20.0,98973094975,2022-02-01,1975,2061,1546137.885107992
55,20.0,98973094975,2022-03-01,2444,2574,1945865.650742618
56,20.0,98973094975,2022-04-01,2404,2555,1918602.420130884
57,20.0,98973094975,2022-05-01,2740,2911,2175773.7303818264
58,20.0,98973094975,2022-06-01,2707,2876,2108411.059811319
59,20.0,98973094975,2022-07-01,2866,3048,2237386.6811443246
60,20.0,98973094975,2022-08-01,2989,3194,2388697.2920251824
61,20.0,98973094975,2022-09-01,2999,3180,2389262.1261547636
62,20.0,98973094975,2022-10-01,2693,2852,2119079.185236157

63,22.0,49505931725,2021-02-01,70,70,35352.12101335409
64,22.0,49505931725,2021-03-01,2502,2646,1320084.4702294478
65,22.0,49505931725,2021-04-01,2579,2717,1353482.5144501256
66,22.0,49505931725,2021-05-01,2833,3008,1481405.7328143327
67,22.0,49505931725,2021-06-01,2933,3126,1550843.8342198045
68,22.0,49505931725,2021-07-01,2943,3131,1561752.339944309
69,22.0,49505931725,2021-08-01,3136,3362,1645926.3752899913
70,22.0,49505931725,2021-09-01,3043,3240,1608141.3113188194
71,22.0,49505931725,2021-10-01,3291,3562,1731944.3402281546
72,22.0,49505931725,2021-11-01,4221,4646,2315804.4491333864
73,22.0,49505931725,2021-12-01,4227,4636,2270949.697985636
74,22.0,49505931725,2022-01-01,2554,2710,1360114.5492850586
75,22.0,49505931725,2022-02-01,2437,2557,1243558.7100240837
76,22.0,49505931725,2022-03-01,2952,3185,1580815.2049643379
77,22.0,49505931725,2022-04-01,3122,3360,1667318.1724676848
78,22.0,49505931725,2022-05-01,3347,3609,1762001.7084042893
79,22.0,49505931725,2022-06-01,3310,3547,1762143.6058659987
80,22.0,49505931725,2022-07-01,3470,3750,1844743.0854875238
81,22.0,49505931725,2022-08-01,3671,3989,1967373.1178339461
82,22.0,49505931725,2022-09-01,3571,3892,1932417.7710562877
83,22.0,49505931725,2022-10-01,3240,3497,1752724.3449262423

84,26.0,35223308778,2021-02-01,58,58,35770.114322485286
85,26.0,35223308778,2021-03-01,1691,1753,1155235.3295543708
86,26.0,35223308778,2021-04-01,1780,1850,1219397.2689324867
87,26.0,35223308778,2021-05-01,1931,1999,1350155.8106270628
88,26.0,35223308778,2021-06-01,1913,1985,1334982.5765730757
89,26.0,35223308778,2021-07-01,1938,2033,1391179.7161002243
90,26.0,35223308778,2021-08-01,2044,2142,1444741.4618771211
91,26.0,35223308778,2021-09-01,2045,2126,1452016.4785111966
92,26.0,35223308778,2021-10-01,2199,2322,1649313.9084366132
93,26.0,35223308778,2021-11-01,2827,2998,2073710.7005243558
94,26.0,35223308778,2021-12-01,2871,3046,2093331.9339375272
95,26.0,35223308778,2022-01-01,1620,1683,1187637.9525750808
96,26.0,35223308778,2022-02-01,1654,1723,1178634.2983205884
97,26.0,35223308778,2022-03-01,1941,2020,1416127.9876723113
98,26.0,35223308778,2022-04-01,2080,2172,1485633.184198327
99,26.0,35223308778,2022-05-01,2312,2418,1676019.9171964198
100,26.0,35223308778,2022-06-01,2291,2387,1676040.9190821825
101,26.0,35223308778,2022-07-01,2384,2500,1661959.363140249
102,26.0,35223308778,2022-08-01,2439,2596,1813035.607681801
103,26.0,35223308778,2022-09-01,2445,2563,1741105.9648593972
104,26.0,35223308778,2022-10-01,2222,2334,1544016.3559561388

105,3.0,89726005175,2021-02-01,267,268,69280.85575813499
106,3.0,89726005175,2021-03-01,7102,8385,2060672.8940366115
107,3.0,89726005175,2021-04-01,7047,8371,2060732.6408477162
108,3.0,89726005175,2021-05-01,8007,9737,2412416.903544753
109,3.0,89726005175,2021-06-01,7751,9405,2319322.490023541
110,3.0,89726005175,2021-07-01,8040,9830,2450869.857274735
111,3.0,89726005175,2021-08-01,8591,10625,2652217.8476779377
112,3.0,89726005175,2021-09-01,8391,10268,2553064.211932912
113,3.0,89726005175,2021-10-01,8814,11009,2743986.194050872
114,3.0,89726005175,2021-11-01,11140,14957,3714940.348729662
115,3.0,89726005175,2021-12-01,10971,14834,3665487.6907187775
116,3.0,89726005175,2022-01-01,7065,8373,2043429.1863738827
117,3.0,89726005175,2022-02-01,6917,8175,2043523.166260222
118,3.0,89726005175,2022-03-01,8197,10057,2524483.6343676667
119,3.0,89726005175,2022-04-01,8286,10069,2510960.4926187363
120,3.0,89726005175,2022-05-01,9215,11526,2848463.8986996096
121,3.0,89726005175,2022-06-01,9092,11443,2831737.5894234558
122,3.0,89726005175,2022-07-01,9496,12072,2976275.702518958
123,3.0,89726005175,2022-08-01,9906,12790,3150948.8578228275
124,3.0,89726005175,2022-09-01,9554,12290,3062213.897113988
125,3.0,89726005175,2022-10-01,9133,11463,2847412.5391704147

126,37.0,57900494384,2021-02-01,84,84,11863.97126654352
127,37.0,57900494384,2021-03-01,2397,2530,343490.5839898529
128,37.0,57900494384,2021-04-01,2472,2614,346871.58972435625
129,37.0,57900494384,2021-05-01,2893,3085,416942.4083189339
130,37.0,57900494384,2021-06-01,2696,2873,373952.00568055693
131,37.0,57900494384,2021-07-01,2866,3028,407063.24600112916
132,37.0,57900494384,2021-08-01,2948,3141,419953.7580685958
133,37.0,57900494384,2021-09-01,3025,3225,434691.13425212534
134,37.0,57900494384,2021-10-01,3135,3358,457975.8241959624
135,37.0,57900494384,2021-11-01,4229,4656,620060.5681651687
136,37.0,57900494384,2021-12-01,3874,4233,567492.471193162
137,37.0,57900494384,2022-01-01,2390,2518,338743.9367707906
138,37.0,57900494384,2022-02-01,2366,2486,336444.0740643642
139,37.0,57900494384,2022-03-01,2869,3015,398020.8657857114
140,37.0,57900494384,2022-04-01,3059,3260,429921.5770578602
141,37.0,57900494384,2022-05-01,3374,3632,491742.1677308631
142,37.0,57900494384,2022-06-01,3285,3532,482768.175548979
143,37.0,57900494384,2022-07-01,3418,3711,499263.35641036415
144,37.0,57900494384,2022-08-01,3548,3889,506120.3871702846
145,37.0,57900494384,2022-09-01,3516,3772,514489.6119535493
146,37.0,57900494384,2022-10-01,3279,3539,478417.4346408368

147,38.0,91923722701,2021-02-01,106,107,8685.77273017389
148,38.0,91923722701,2021-03-01,2646,2798,208801.12589667455
149,38.0,91923722701,2021-04-01,2643,2783,204483.7249957292
150,38.0,91923722701,2021-05-01,3154,3362,255739.12375513074
151,38.0,91923722701,2021-06-01,3043,3230,237956.5838869854
